subjects,window_duration_seconds,channel_set,channels,trials,samples,model,accuracy,correct,binomial_p_value,permutation_p_value
"1,2,3,4,5,6",1.2,occipital,3,144,301,target_power,0.4166666666666667,60,8.796363505759219e-06,0.0001999600079984003
"1,2,3,4,5,6",1.2,occipital,3,144,301,cca,0.8055555555555556,116,2.6809981551362096e-44,0.0001999600079984003
"1,2,3,4,5,6",1.2,occipital,3,144,301,filter_bank_cca,0.6736111111111112,97,1.4181929742472883e-26,0.0001999600079984003
"1,2,3,4,5,6",1.2,occipital,3,144,301,trca_cross_validated,0.8611111111111112,124,1.1215950021651134e-53,0.0001999600079984003
"1,2,3,4,5,6",1.2,occipital,3,144,301,filter_bank_trca_cross_validated,0.7986111111111112,115,3.2296221294559347e-43,0.0001999600079984003
"1,2,3,4,5,6",1.2,parieto_occipital,6,144,301,target_power,0.4444444444444444,64,3.042669084177842e-07,0.0001999600079984003
"1,2,3,4,5,6",1.2,parieto_occipital,6,144,301,cca,0.9305555555555556,134,9.342440490078727e-68,0.0001999600079984003
"1,2,3,4,5,6",1.2,parieto_occipital,6,144,301,filter_bank_cca,0.6875,99,3.4711623292502555e-28,0.0001999600079984003
"1,2,3,4,5,6",1.2,parieto_occipital,6,144,301,trca_cross_validated,0.8888888888888888,128,6.2103881598795375e-59,0.0001999600079984003
"1,2,3,4,5,6",1.2,parieto_occipital,6,144,301,filter_bank_trca_cross_validated,0.8125,117,2.1306289351761513e-45,0.0001999600079984003
"1,2,3,4,5,6",2.0,occipital,3,144,501,target_power,0.5416666666666666,78,7.723927822901658e-14,0.0001999600079984003
"1,2,3,4,5,6",2.0,occipital,3,144,501,cca,0.8888888888888888,128,6.2103881598795375e-59,0.0001999600079984003
"1,2,3,4,5,6",2.0,occipital,3,144,501,filter_bank_cca,0.8611111111111112,124,1.1215950021651134e-53,0.0001999600079984003
"1,2,3,4,5,6",2.0,occipital,3,144,501,trca_cross_validated,0.9444444444444444,136,5.061434974762098e-71,0.0001999600079984003
"1,2,3,4,5,6",2.0,occipital,3,144,501,filter_bank_trca_cross_validated,0.8819444444444444,127,1.4070965446111665e-57,0.0001999600079984003
"1,2,3,4,5,6",2.0,parieto_occipital,6,144,501,target_power,0.5208333333333334,75,3.1298842838516485e-12,0.0001999600079984003
"1,2,3,4,5,6",2.0,parieto_occipital,6,144,501,cca,0.9583333333333334,138,1.6572325068241699e-74,0.0001999600079984003
"1,2,3,4,5,6",2.0,parieto_occipital,6,144,501,filter_bank_cca,0.8680555555555556,125,5.962595972149685e-55,0.0001999600079984003
"1,2,3,4,5,6",2.0,parieto_occipital,6,144,501,trca_cross_validated,0.9236111111111112,133,3.423585815550243e-66,0.0001999600079984003
"1,2,3,4,5,6",2.0,parieto_occipital,6,144,501,filter_bank_trca_cross_validated,0.9305555555555556,134,9.342440490078727e-68,0.0001999600079984003
"1,2,3,4,5,6",4.0,occipital,3,144,1001,target_power,0.6597222222222222,95,5.11520146912863e-25,0.0001999600079984003
"1,2,3,4,5,6",4.0,occipital,3,144,1001,cca,0.9722222222222222,140,2.8246022670103347e-78,0.0001999600079984003
"1,2,3,4,5,6",4.0,occipital,3,144,1001,filter_bank_cca,0.9583333333333334,138,1.6572325068241699e-74,0.0001999600079984003
"1,2,3,4,5,6",4.0,occipital,3,144,1001,trca_cross_validated,0.9930555555555556,143,8.706611079061158e-85,0.0001999600079984003
"1,2,3,4,5,6",4.0,occipital,3,144,1001,filter_bank_trca_cross_validated,0.9583333333333334,138,1.6572325068241699e-74,0.0001999600079984003
"1,2,3,4,5,6",4.0,parieto_occipital,6,144,1001,target_power,0.5763888888888888,83,9.324607050774012e-17,0.0001999600079984003
"1,2,3,4,5,6",4.0,parieto_occipital,6,144,1001,cca,0.9930555555555556,143,8.706611079061158e-85,0.0001999600079984003
"1,2,3,4,5,6",4.0,parieto_occipital,6,144,1001,filter_bank_cca,0.9930555555555556,143,8.706611079061158e-85,0.0001999600079984003
"1,2,3,4,5,6",4.0,parieto_occipital,6,144,1001,trca_cross_validated,1.0,144,2.010764683385949e-87,0.0001999600079984003
"1,2,3,4,5,6",4.0,parieto_occipital,6,144,1001,filter_bank_trca_cross_validated,0.9652777777777778,139,2.3785297767090663e-76,0.0001999600079984003
"1,2,3,4,5,6",6.0,occipital,3,144,1501,target_power,0.6805555555555556,98,2.2539673618069656e-27,0.0001999600079984003
"1,2,3,4,5,6",6.0,occipital,3,144,1501,cca,0.9722222222222222,140,2.8246022670103347e-78,0.0001999600079984003
"1,2,3,4,5,6",6.0,occipital,3,144,1501,filter_bank_cca,0.9583333333333334,138,1.6572325068241699e-74,0.0001999600079984003
"1,2,3,4,5,6",6.0,occipital,3,144,1501,trca_cross_validated,0.9930555555555556,143,8.706611079061158e-85,0.0001999600079984003
"1,2,3,4,5,6",6.0,occipital,3,144,1501,filter_bank_trca_cross_validated,0.9791666666666666,141,2.664541696395031e-80,0.0001999600079984003
"1,2,3,4,5,6",6.0,parieto_occipital,6,144,1501,target_power,0.6111111111111112,88,5.593273589325012e-20,0.0001999600079984003
"1,2,3,4,5,6",6.0,parieto_occipital,6,144,1501,cca,0.9930555555555556,143,8.706611079061158e-85,0.0001999600079984003
"1,2,3,4,5,6",6.0,parieto_occipital,6,144,1501,filter_bank_cca,0.9930555555555556,143,8.706611079061158e-85,0.0001999600079984003
"1,2,3,4,5,6",6.0,parieto_occipital,6,144,1501,trca_cross_validated,0.9861111111111112,142,1.8719615972918168e-82,0.0001999600079984003
"1,2,3,4,5,6",6.0,parieto_occipital,6,144,1501,filter_bank_trca_cross_validated,0.9513888888888888,137,9.826396744248571e-73,0.0001999600079984003
